Id,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Track-Name,Artist-Name
28,0345402871,Airframe,Michael Crichton,1997,Ballantine Books,It's You,Ali Gatie
29,0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,Con Calma,Daddy Yankee
30,0684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner,QUE PRETENDES,J Balvin
31,0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,Takeaway,The Chainsmokers
32,0425163091,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group,7 rings,Ariana Grande
33,3404921038,Wie Barney es sieht.,Mordecai Richler,2002,LÃ?Â¼bbe,0.9583333333,Maluma
34,3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,2001,Goldmann,The London (feat. J. Cole & Travis Scott),Young Thug
35,3442410665,Sturmzeit. Roman.,Charlotte Link,1991,Goldmann,Never Really Over,Katy Perry
36,3442446937,Tage der Unschuld.,Richard North Patterson,2000,Goldmann,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix
37,0375406328,Lying Awake,Mark Salzman,2000,Alfred A. Knopf,Otro Trago,Sech
38,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,Antisocial (with Travis Scott),Ed Sheeran
39,0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,Sucker,Jonas Brothers
40,0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv
41,038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,1996,Avon,Higher Love,Kygo
42,055321215X,Pride and Prejudice,Jane Austen,1983,Bantam,You Need To Calm Down,Taylor Swift
43,067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,Fireside,Shallow,Lady Gaga
44,0061099686,Downtown,Anne Rivers Siddons,1995,HarperTorch,Talk,Khalid
45,0553582909,Icebound,Dean R. Koontz,2000,Bantam Books,Con Altura,ROSALÍA
46,0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,One Thing Right,Marshmello
47,0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,Te Robaré,Nicky Jam
48,0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,Happier,Marshmello
49,042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,Call You Mine,The Chainsmokers
50,0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran
